epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,7310.25,0.98846,0.90429,1.29474,0.47125,0.42067,0.43052,0.18155,2.05575,1.65544,2.37589,0.0001288,0.0001288,0.0001288
90,7493.65,0.9893,0.92115,1.297,0.39048,0.55709,0.41412,0.17897,2.07107,1.63048,2.41712,0.0001189,0.0001189,0.0001189
91,7674.85,0.98772,0.84053,1.3124,0.44901,0.4661,0.42708,0.18371,2.07395,1.62494,2.40132,0.000109,0.000109,0.000109
92,7852.78,0.94606,0.78613,1.29315,0.41304,0.53156,0.41352,0.18037,2.06974,1.62131,2.41728,9.91e-05,9.91e-05,9.91e-05
93,8031.29,0.91085,0.77601,1.2629,0.42211,0.49567,0.39746,0.17442,2.07635,1.63967,2.4452,8.92e-05,8.92e-05,8.92e-05
94,8207.66,0.88115,0.73948,1.25448,0.383,0.52492,0.40417,0.17982,2.04246,1.61743,2.41886,7.93e-05,7.93e-05,7.93e-05
95,8377.65,0.87511,0.73239,1.25609,0.44939,0.46263,0.41513,0.17929,2.04696,1.62584,2.42828,6.94e-05,6.94e-05,6.94e-05
96,8545.48,0.87673,0.72982,1.2576,0.43557,0.51352,0.42125,0.18306,2.04541,1.6247,2.43679,5.95e-05,5.95e-05,5.95e-05
97,8724.96,0.85307,0.72344,1.23512,0.38886,0.57263,0.41379,0.18188,2.04043,1.62425,2.44039,4.96e-05,4.96e-05,4.96e-05
98,8917.54,0.85546,0.7154,1.23426,0.38954,0.55663,0.41739,0.18222,2.0401,1.64175,2.4312,3.97e-05,3.97e-05,3.97e-05
99,9172.01,0.84286,0.70494,1.21951,0.47629,0.45941,0.42632,0.1854,2.04156,1.63516,2.44036,2.98e-05,2.98e-05,2.98e-05
100,9478.18,0.8163,0.676,1.20321,0.4403,0.47556,0.41887,0.18348,2.04769,1.62794,2.45112,1.99e-05,1.99e-05,1.99e-05
